"","Location.city","n","lat","lng","location_type","formatted_address","status","error_message","locations","input_url","geocode_dt"
"1","Arthi River junction",2,-1.4493916,36.9758981,"GEOMETRIC_CENTER","Athi River, Kenya","OK","","Arthi River junction,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Arthi%20River%20junction%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"2","Bongwe",3,-4.283222,39.5590122,"GEOMETRIC_CENTER","Next To Bongwe Primary School, Off Ukunda - Ramisi Road, Ukunda, Kenya","OK","","Bongwe,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Bongwe%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"3","Boni",1,-1.5513402,41.3611121,"GEOMETRIC_CENTER","Boni National Reserve, Kenya","OK","","Boni,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Boni%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"4","Changamwe",1,-4.0162795,39.6234241,"APPROXIMATE","Changamwe, Mombasa, Kenya","OK","","Changamwe,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Changamwe%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"5","Chomo",1,-0.7892463,37.1337035,"GEOMETRIC_CENTER","Maragua, Kenya","OK","","Chomo,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Chomo%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"6","Diani",2,-4.2797626,39.5946958,"APPROXIMATE","Diani Beach, Kenya","OK","","Diani,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Diani%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"7","Garissa",30,-0.4532293,39.6460988,"APPROXIMATE","Garissa, Kenya","OK","","Garissa,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Garissa%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"8","Hindi",6,-2.1767894,40.8146311,"APPROXIMATE","Hindi, Kenya","OK","","Hindi,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Hindi%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"9","Hulugho",2,-1.15,41.0666667,"APPROXIMATE","Hulugho, Kenya","OK","","Hulugho,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Hulugho%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
"10","Kakamega",1,0.2827307,34.7518631,"APPROXIMATE","Kakamega, Kenya","OK","","Kakamega,Kenya","https://maps.googleapis.com/maps/api/geocode/json?address=Kakamega%2cKenya&key=AIzaSyA0P3ttBF5MNosQkQoVj7lRnYg5NoLrL_w",2018-05-15
